date5,m_consumerd
2020-05-13,187.5868751777793
2020-05-14,190.3949079603519
2020-05-15,192.46979416541333
2020-05-18,205.44650103011222
2020-05-19,206.2320089969995
2020-05-20,207.6974884788945
2020-05-21,208.7229580069488
2020-05-22,210.27092262483993
2020-05-26,215.30436102849131
2020-05-27,219.94043285441848
2020-05-28,214.73820886971816
2020-05-29,215.3648334089315
2020-06-01,216.92797470992465
2020-06-02,218.55401488969912
2020-06-03,225.6460964544764
2020-06-04,224.62159998911733
2020-06-05,230.22383265225392
2020-06-08,232.3614362680687
2020-06-09,227.59664828822298
2020-06-10,224.829518723038
2020-06-11,209.9121823940637
2020-06-12,213.122904012788
2020-06-15,216.51819319095253
2020-06-16,223.12520445517774
2020-06-17,222.90567553718134
2020-06-18,219.92877387100796
2020-06-19,217.3651227681142
2020-06-22,218.9439946480517
2020-06-23,219.48269780176992
2020-06-24,213.40408210934334
2020-06-25,213.761907037699
2020-06-26,209.9354259203065
2020-06-29,214.36282938831258
2020-06-30,216.5826911116546
2020-07-01,217.01322593329087
2020-07-02,217.42984133846355
2020-07-06,223.12697407884417
2020-07-07,219.17046762862296
2020-07-08,221.2975809978989
2020-07-09,218.55577849442105
2020-07-10,221.2152249048341
2020-07-13,218.63509933903532
2020-07-14,222.21997387004348
2020-07-15,228.35685416887392
2020-07-16,227.05733558366884
2020-07-17,226.57395507704535
2020-07-20,228.08965350996772
2020-07-21,227.9136240167438
2020-07-22,236.6677723200816
2020-07-23,234.08824068645262
2020-07-24,235.70007308024282
2020-07-27,238.55882931655307
2020-07-28,234.3951807202033
2020-07-29,240.04495711596508
2020-07-30,240.51396848570624
2020-07-31,239.22983454758267
2020-08-03,238.2666239558526
2020-08-04,239.7208772515351
2020-08-05,240.79593204102426
2020-08-06,242.4465684260962
2020-08-07,242.69679420399217
2020-08-10,244.58209881692562
2020-08-11,245.34354819891587
2020-08-12,248.91450191893668
2020-08-13,249.797239906383
2020-08-14,249.75964876390853
2020-08-17,253.25156950500775
2020-08-18,255.11705485829768
2020-08-19,253.1876103023313
2020-08-20,253.30976168614512
2020-08-21,256.0060532857787
2020-08-24,259.84899973419476
2020-08-25,258.7662692429884
2020-08-26,259.22016478484534
2020-08-27,259.8299977374527
2020-08-28,261.7464225247221
2020-08-31,259.9885831688935
2020-09-01,263.09600928144636
2020-09-02,265.81335809995545
2020-09-03,257.7662203626813
2020-09-04,253.95016292356095
2020-09-08,251.5779597354385
2020-09-09,255.2926939388491
2020-09-10,251.91589628075653
2020-09-11,253.6048090502901
2020-09-14,256.9243674908044
2020-09-15,255.3282031563093
2020-09-16,258.5424320112984
2020-09-17,255.17200493362714
2020-09-18,250.6177525970171
2020-09-21,244.9291220431058
2020-09-22,248.8645885395554
2020-09-23,242.48664071424952
2020-09-24,243.10768353264288
2020-09-25,245.26853645972486
2020-09-28,251.91518190671812
2020-09-29,249.08268326633382
2020-09-30,252.39706304838072
2020-10-01,256.75374362153826
2020-10-02,255.71597827155634
2020-10-05,257.2012837787844
2020-10-06,253.68308602638965
