date1,m_industrial
2020-09-25,120.73262321626818
2020-09-28,122.9444035968265
2020-09-29,122.07214474033665
2020-09-30,121.65624320829237
2020-10-01,121.62058121449239
2020-10-02,122.73293783858016
2020-10-05,125.01786947250366
2020-10-06,123.95146396997812
2020-10-07,126.39118006422713
2020-10-08,127.63654721749795
2020-10-09,128.0226336169887
2020-10-12,128.76308376724654
2020-10-13,127.60900880195
2020-10-14,128.15979275832305
2020-10-15,128.68042476757154
2020-10-16,129.01677828866082
2020-10-19,127.17744457399523
2020-10-20,127.82980332503448
2020-10-21,126.6907732937787
2020-10-22,127.30075310372017
2020-10-23,128.08487000336518
2020-10-26,125.30107038085525
2020-10-27,122.8490159060504
2020-10-28,119.59113975473352
2020-10-29,121.24550579689644
2020-10-30,121.00473740294173
2020-11-02,124.39503980327297
2020-11-03,128.05022518054858
2020-11-04,126.9630655597996
2020-11-05,129.51400091841415
2020-11-06,130.15117386225108
2020-11-09,133.48614137237138
2020-11-10,135.24783679601308
2020-11-11,134.50363328005815
2020-11-12,132.98631941305624
2020-11-13,135.62682803901467
2020-11-16,138.44540251912298
2020-11-17,137.77944932112823
2020-11-18,137.4777964256905
2020-11-19,138.10537821537739
2020-11-20,136.76694649619026
2020-11-23,138.56158389271917
2020-11-24,140.67590453173662
2020-11-25,139.39488778243194
2020-11-27,139.2163890890173
2020-11-30,137.99973447902784
2020-12-01,138.30349532977954
2020-12-02,137.63652908479844
2020-12-03,137.79167144362992
2020-12-04,139.40769089879217
2020-12-07,138.62823192493335
2020-12-08,139.4577663009231
2020-12-09,139.36841730169348
2020-12-10,138.16081186243005
2020-12-11,138.6280591552322
2020-12-14,137.22115462535137
2020-12-15,139.21690381539835
2020-12-16,138.2394522847356
2020-12-17,138.89831254288956
2020-12-18,139.32061569110766
2020-12-21,138.66881244247026
2020-12-22,138.06552157530913
2020-12-23,138.51693747494673
2020-12-24,138.87032305227743
2020-12-28,139.053910435857
2020-12-29,137.85679844263439
2020-12-30,138.83989120174098
2020-12-31,139.67609493152514
2021-01-04,135.96258778185458
2021-01-05,137.27324856938543
2021-01-06,140.61731887508083
2021-01-07,141.824784472182
2021-01-08,141.45716163274403
2021-01-11,141.2275001165029
2021-01-12,142.68122844438295
2021-01-13,141.42842693586607
2021-01-14,141.6553775168754
2021-01-15,139.86308474154086
2021-01-19,140.51481518874297
2021-01-20,141.53635148744326
2021-01-21,140.80272875605402
2021-01-22,140.5620470046997
2021-01-25,139.6353117968585
2021-01-26,137.74080437582893
2021-01-27,134.3981178902291
2021-01-28,136.50396759445601
2021-01-29,133.88203303878373
2021-02-01,135.84631620871053
2021-02-02,138.0948794596904
2021-02-03,137.97204582111254
2021-02-04,139.62963477985278
2021-02-05,140.47786532221613
2021-02-08,142.05823207545924
2021-02-09,142.39228588825947
2021-02-10,142.27339778075347
2021-02-11,142.63280144253292
2021-02-12,143.4196127298716
2021-02-16,142.86673770079742
2021-02-17,142.49192544576283
2021-02-18,142.21616763037605
2021-02-19,144.61643208684148
2021-02-22,144.2636887833879
2021-02-23,144.63300751351022
2021-02-24,146.51207506334458
2021-02-25,143.724471246874
2021-02-26,142.7970240051682
2021-03-01,146.59731944831643
2021-03-02,146.02815099664636
2021-03-03,145.55905517371926
2021-03-04,142.73166692579116
2021-03-05,146.57769899110536
2021-03-08,147.68232479610958
2021-03-09,147.26973817155167
2021-03-10,149.4116654782682
2021-03-11,150.1082113626841
2021-03-12,151.93632592381658
2021-03-15,153.30784344028783
2021-03-16,151.10912199278135
2021-03-17,152.30416818567224
2021-03-18,152.05830666825577
2021-03-19,151.27179192207956
2021-03-22,151.11488556217503
2021-03-23,148.57755753800674
2021-03-24,149.5990675333384
2021-03-25,151.5519246539554
2021-03-26,154.43921983564223
2021-03-29,154.08143422410294
2021-03-30,154.78674476211137
2021-03-31,154.51483461019154
2021-04-01,155.404083432378
2021-04-05,157.28636989078007
2021-04-06,157.0058197846284
2021-04-07,156.02650137205381
2021-04-08,156.51225943178744
2021-04-09,157.88208103179932
2021-04-12,158.5423526763916
2021-04-13,157.77599102741962
2021-04-14,157.88169128830367
2021-04-15,158.59331535648656
2021-04-16,159.17584068710738
2021-04-19,158.14579824499182
2021-04-20,156.84096519367114
2021-04-21,158.65199130290264
2021-04-22,158.42005868860193
2021-04-23,160.1467790088138
2021-04-26,159.65582574380412
2021-04-27,160.648085903477
2021-04-28,159.72680854797363
2021-04-29,161.41387008976292
2021-04-30,160.07316625440444
2021-05-03,161.52793729627456
2021-05-04,162.44077847455
2021-05-05,162.61976077105547
2021-05-06,163.62854467855917
2021-05-07,165.41939977697425
2021-05-10,165.3917331180057
2021-05-11,163.09945915840768
2021-05-12,158.77983369054022
2021-05-13,162.01090338423447
2021-05-14,164.1178273123664
2021-05-17,163.57824513718887
2021-05-18,160.9762327091114
2021-05-19,160.06168504663415
2021-05-20,160.76813968452248
2021-05-21,161.2992995236371
2021-05-24,162.43343922898575
2021-05-25,162.10760580526815
2021-05-26,162.5819169895069
2021-05-27,164.66381315282874
2021-05-28,164.70132093171816
2021-06-01,165.29229553325757
2021-06-02,164.88694123964052
2021-06-03,164.5283200547502
2021-06-04,165.38697371611724
2021-06-07,164.00185208707242
2021-06-08,164.9396585000528
2021-06-09,163.4383267325324
2021-06-10,162.96082764702874
2021-06-11,163.46769941175307
2021-06-14,162.80464558988004
2021-06-15,163.74734870807544
2021-06-16,162.08820317242598
2021-06-17,159.90250566843395
2021-06-18,158.0357130411509
2021-06-21,161.5012466585314
2021-06-22,162.14651424820357
2021-06-23,162.1034317789851
2021-06-24,162.8969577583107
2021-06-25,163.36298692548598
2021-06-28,162.87724899601292
2021-06-29,162.42982931394835
2021-06-30,163.40265188990412
2021-07-01,164.38293864275957
2021-07-02,164.75684676299224
2021-07-06,163.56651795876994
2021-07-07,165.44151782989502
2021-07-08,163.3260107555905
2021-07-09,165.92385438970618
2021-07-12,166.22902187141213
2021-07-13,164.83147118542647
2021-07-14,164.65072283873687
2021-07-15,164.66354689726958
2021-07-16,163.74298139520593
2021-07-19,160.5804680746955
2021-07-20,164.826185819265
2021-07-21,166.26298077042037
2021-07-22,165.46996518727894
2021-07-23,166.72378833873853
2021-07-26,166.4102987083229
2021-07-27,165.79554776887636
2021-07-28,165.2871436815004
2021-07-29,166.58238635192046
2021-07-30,166.35431369575295
2021-08-02,165.0883695499317
2021-08-03,166.9552345018129
2021-08-04,164.7027137601698
2021-08-05,165.46947087468328
2021-08-06,166.12575059323697
2021-08-09,165.64191508937526
2021-08-10,166.75681580723943
2021-08-11,168.6753536430565
2021-08-12,168.36291019336596
2021-08-13,167.91945952338142
2021-08-16,168.71473441252837
2021-08-17,166.94269883954848
2021-08-18,164.97819189123206
2021-08-19,164.12707104554048
2021-08-20,164.88099528647757
2021-08-23,166.1811280637174
2021-08-24,166.99954623145027
2021-08-25,168.07028004929825
2021-08-26,167.38010615271492
2021-08-27,168.79307548419848
2021-08-30,169.0851712871242
2021-08-31,168.46518702120395
2021-09-01,167.96983151822477
2021-09-02,169.93762196721258
2021-09-03,169.15868705027813
2021-09-07,166.31871256957183
2021-09-08,166.61699320818926
2021-09-09,166.1353332674181
2021-09-10,165.50896000217747
2021-09-13,165.5707695161974
2021-09-14,163.94629707851925
2021-09-15,165.5599601075456
2021-09-16,164.49423697188095
2021-09-17,162.8290436718915
2021-09-20,161.2330477173264
2021-09-21,160.3888589498159
2021-09-22,162.0601052980165
2021-09-23,164.43283921319085
2021-09-24,164.6323274406227
2021-09-27,164.83840664013013
2021-09-28,162.59731687081828
2021-09-29,162.55829457978945
2021-09-30,159.4548658164772
2021-10-01,161.49910493799158
2021-10-04,160.33265521075273
2021-10-05,162.11329653456406
2021-10-06,162.83815966425715
2021-10-07,164.37852501224828
2021-10-08,163.93039198179503
2021-10-11,162.9606414743372
2021-10-12,162.89915520436054
2021-10-13,163.13154906195564
2021-10-14,166.5043496054572
